states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
West Virginia,2011,32.4,65.5,94.0,78.5,32.9,79.0,84.5,100.0,80.5,96.0,90.0,89.0,22.0,69.0,69.0,100.0,43.0,87.5,66.5,89.0,0.0,69.5,65.5,89.5,39.0,0.0,0.0,83.0,69.0,91.0,93.0,34.0
Wisconsin,2011,27.7,54.5,76.5,70.0,26.9,79.0,75.83333333499999,55.5,61.0,75.5,53.0,74.0,32.0,47.5,70.5,55.0,61.5,62.5,50.0,85.5,13.0,66.5,69.5,71.5,64.0,27.0,0.0,73.5,62.5,63.0,61.0,38.5
Wyoming,2011,25,67.0,84.0,91.5,25.7,93.0,83.0,76.0,100.0,77.0,0.0,94.5,0.0,71.0,87.5,72.0,0.0,81.0,70.0,58.5,0.0,90.0,72.0,74.0,58.5,0.0,0.0,70.5,41.0,92.0,89.0,56.5
Alabama,2012,33,81.94174613154556,103.1098240657787,88.47192962961634,32,89.73129268920535,95.75082018953867,93.15876140549145,93.27163109976782,76.11526044104656,102.35884295432099,95.6744862800953,140.92168462679444,88.38218660563115,81.1350413318388,87.54966769250103,96.11357383410956,80.8197097974236,60.16211748754714,104.06903208083676,40.354131788307875,88.97482063612577,68.3823468597223,86.52216766854377,56.36056808808973,96.76352711730424,0.0,77.95853435528345,67.52555824574839,76.83279963441568,114.71719561986463,38.98896348951103
Alaska,2012,25.7,73.21024859293824,90.45831191046842,84.42419428708487,27.4,105.11380000735483,71.30771253717933,63.03556909473374,97.6352161804587,69.97693298612344,68.239228636214,98.52194122890766,278.13490386867323,68.9381055523923,96.26191344455452,71.00064514086974,0.0,68.24775494004659,62.568602187049024,75.01079585047324,30.93816770436937,74.99306310759172,62.221775070558124,92.29031217978002,129.96083935606572,0.0,0.0,109.00981498832007,74.8256185966401,57.46843549891254,97.72205552803283,32.832811359588234
Arizona,2012,26,71.1952876224904,85.39770704834432,78.06346732024971,25.1,96.1406707384343,90.05355449331269,71.40312251438866,86.18080534364512,69.97693298612344,48.04598750917108,85.99313945413327,278.13490386867323,60.099886891829186,91.44881777232679,64.06073245792759,58.5835116703144,75.43172914426202,66.17832923630185,106.77212382319615,98.19505401821583,74.35752867447654,75.7750330067193,82.03583304869335,110.73193965542335,51.83760381284156,0.0,84.56518980912102,75.43395695921441,53.095837145734414,87.40357761513495,35.568878972887255
Arkansas,2012,34.5,98.73308755194422,104.37497528130972,93.67616078429965,30.9,103.19098659258614,101.81565141064064,99.29496724657173,101.45335312606323,90.84724633286201,94.00301903968254,99.6609232084326,96.42010000780672,83.66846998666416,96.94949854058704,88.08350712965043,113.50555386123415,88.00368400163902,67.3815715860528,122.31490134176268,57.84092222990795,99.14337156596872,78.85531890130139,101.90388636517378,59.67589562268324,94.78876125776742,0.0,90.51117971757485,75.43395695921441,81.83005489519068,114.11022633087063,32.14879445626348
California,2012,25,75.22520956338607,72.11361928526854,69.38974872911086,23.8,101.90911098274036,79.02658863676365,51.87883120186051,75.81729077700425,58.92794356726185,43.17175689229865,80.86772054627103,404.2227269558051,51.26166823126607,96.26191344455452,68.86528739227215,67.73718536880102,58.070458150741395,54.7475269136679,85.14738988432099,110.30129355470818,59.10470227971212,65.30206096514021,70.49954402622085,88.85077792710617,38.507934260968014,39.27458259218715,93.15384189910988,74.8256185966401,61.84103385209067,72.83631467927913,34.8848620695625
Colorado,2012,20.5,67.83701933841066,84.1325558328133,78.06346732024971,20.7,99.98629756797168,78.10767481906021,50.763157412573186,77.99908331734969,63.838605531200336,34.119614318107,83.14568450532092,296.67723079325145,50.6724536538952,88.01089229216413,57.654659212134824,63.160348519557715,60.46511621881321,62.568602187049024,80.41697933519204,107.61101810215433,78.80626970628283,81.93560479588348,76.90859348315001,123.3301842868787,31.102562287704934,0.0,85.88652089988854,74.21728023406578,59.342406221703165,80.72691543620103,47.19716632940809
Connecticut,2012,25.6,73.88190224975419,85.39770704834432,72.8592361655664,24.5,91.01316829905113,95.01568912875976,55.22585256972248,74.72639450683153,68.1354347496465,54.312855445149914,86.56263044389576,237.34178463460117,70.11653470713405,81.82262642787134,68.86528739227215,69.56792010849836,70.6424130081184,72.19454098505656,77.71388759283265,61.87633540873874,61.64684001217286,60.98966071272529,78.19040337453585,96.14449850321189,21.228732990020827,0.0,89.85051417219108,68.13389660832269,78.70677035720631,78.29903828022506,36.252895876212015
