states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
Nebraska,2014,30.2,78.58964975671977,103.6930711195034,95.31516219761161,29.6,98.8955177468594,84.73859072448265,77.9880008211676,73.06166022115488,87.34548414675287,75.50365577813696,95.2064499292714,573.5094528685621,60.12514089139876,103.69267741545144,65.29267551048208,107.70644155189432,86.15265726233652,72.7365785003164,85.99149618641641,552.0381473498126,117.63818812642346,95.9254932122179,80.87328581187664,118.61166852401092,0.0,0.0,87.21850184196964,79.25169122571792,89.28769551642101,96.36140030863498,46.96476898119935
Nevada,2014,27.7,79.3677651008457,88.42537966632499,78.78652135409514,26.2,88.29956941683875,79.02587674292847,70.42200074150209,69.90467490295683,58.87732635077415,54.395106850915866,78.67359335472727,787.1698372705754,67.77743155030406,94.1420360745546,65.29267551048208,67.78727090678663,73.84513479628845,55.02680286545675,72.96248161271696,1033.603339718798,85.34535217015035,62.35157058794164,72.26974476805998,138.24394469350239,0.0,0.0,104.25336548297933,69.43289762253163,72.72626812224615,88.99619773727434,39.254135267868115
New Hampshire,2014,27.4,66.13980425070476,97.3315330140124,83.1941589123662,26.7,91.32698322541607,104.16181826176684,72.75000076601455,77.57163924715209,81.52245187030267,64.13751404809483,100.3373364524058,326.11321829780985,75.42972220920936,118.70082809400363,56.795683491994694,97.91494686535847,80.2919322785041,63.88169068288657,53.679540043641765,692.9840573114669,109.94941766064414,61.39231565581946,82.02042461771886,94.0713233121466,0.0,0.0,115.83707275886593,99.5906208323181,71.28614400101355,82.85852892780714,45.56283557877549
New Jersey,2014,26.9,75.47718838021602,87.78922585577588,71.62411032190468,26.3,86.28129354445386,96.92571388894001,62.856000661836575,70.35567280555655,64.70035862722435,70.63245217954747,90.64566190870751,787.1698372705754,75.97631439913116,98.2351680777961,63.503835085537375,91.8894116736441,71.50084480275548,53.12932690457893,54.72186120953772,669.4930723178578,73.04331942490346,56.11641352914747,71.69617536513887,75.25705864971728,45.90555574581971,0.0,103.57197093733895,85.56377282776624,87.84757139518842,84.08606268970058,43.459935475139694
New Mexico,2014,28.4,85.5926878538532,96.69537920346329,93.11134341847608,26.4,80.73103489539542,88.16621911341515,87.88200092534558,75.31664973415349,84.11046621539164,64.9493813145264,95.77654843184189,292.3773681290709,78.16268315881838,97.55297941058919,68.42314625413533,81.34472508814396,89.08301975425272,82.22395830470549,77.65292685924877,399.3467448913538,93.03412263592966,58.994178325514014,75.71116118558665,89.98126577683587,0.0,0.0,102.20918184605817,105.20136003413883,92.88800581950251,89.60996461822106,75.7044037308885
New York,2014,27,80.92399578909759,84.60845680303038,74.92983849060798,25.4,95.36353497018585,80.3588433424329,57.61800060668352,65.84569377955933,57.583319178229665,66.57311584738957,81.5240858675797,618.4905864268807,65.04447060069502,94.82422474176151,58.58452391693941,75.31918989642959,63.88190232377333,50.59935895674184,52.63721887774581,822.1844747763166,69.96781123859174,53.23864873278094,67.6811895446911,70.34898960734441,43.12340085213367,41.29463594175863,97.43942002657546,85.56377282776624,69.12595781916465,79.17592764212682,33.64640165817267
North Carolina,2014,29.7,78.58964975671977,97.3315330140124,80.99034013323067,29.4,83.25387973587654,89.11833811224508,76.24200080278325,72.15966441595543,75.05241600758023,86.86979750817908,94.06625292413042,820.9056874393144,77.61609096889659,96.87079074338227,67.97593614789916,82.85110888607255,78.53371478335437,64.51418266984585,78.17408744219675,728.2205348018805,102.26064719486483,60.91268818975837,78.00543879727108,107.1595074251409,71.64048851241562,103.23658985439657,99.48360366349662,80.6543760261731,80.64695078902544,100.04400159431529,50.469602487259
North Dakota,2014,32.2,90.26137991860884,111.9630706566417,86.4998870810695,31,94.85896600208963,99.40122327904258,76.82400080891136,79.37563085755097,122.283677805454,80.37485937672643,104.89812447296968,382.33963524570805,104.94570046498693,128.25146943490046,80.05060901627598,0.0,97.87410723000134,76.53153042207204,89.63962026705227,364.11026740094024,140.7044995237614,89.69033615342374,95.78609028782552,161.96627839830458,0.0,0.0,109.02312730246206,122.03357763960105,85.68738521333952,120.91207554650376,140.1933402423861
Ohio,2014,32.6,74.69907303609008,100.5123020667579,86.4998870810695,30.4,95.36353497018585,90.26088090855592,79.15200083342383,71.70866651335571,79.58144111148594,74.69178851170537,88.93536640099605,685.9622867643586,71.0569846898349,100.28173407941686,66.18709572295444,103.18729015810854,89.08301975425272,80.95897433078694,86.5126567693644,657.7475798210533,98.41626196197518,73.3830023073467,84.88827163232442,94.88933481920874,81.37803064031677,84.1378207313332,94.71384184401391,89.07048482890421,79.92688872840914,90.8374983801145,42.05800207271584
Oklahoma,2014,33,119.05164765126857,103.0569173089543,86.4998870810695,32.5,98.8955177468594,87.02367631710432,84.97200089470499,75.7676476367532,71.81739807621902,80.37485937672643,83.23438137529116,730.9434203226772,85.26838162780187,93.45984740734768,64.84546540424591,85.11068458296545,78.53371478335437,65.7791666437644,81.82221152283259,1057.0943247124071,101.4917701482869,75.30151217159106,86.03541043816664,118.61166852401092,103.63526978980511,0.0,82.44874002248693,84.86243042753865,61.925337213001676,101.88530223715546,39.95510196908005
Oregon,2014,27.9,49.021266679934115,51.52845865447715,52.891650699252686,26.5,40.870086415793935,41.32196446467094,35.5020003738151,41.94280494177409,37.52620800379012,23.544150726515824,48.45837271849143,168.67925084369475,30.06257044569938,47.75320670448422,26.385396267934542,61.76173571507227,40.43900238844367,36.05204325667856,24.494547398554978,258.4008349296995,43.82599165494207,28.777647963665373,40.149858204477766,65.44092056497155,29.212626383703455,0.0,51.78598546866947,55.40604961797978,39.60341333389642,38.667313499643335,25.2348012436295
Pennsylvania,2014,30.2,70.80849631546039,98.60384063511059,82.09224952279844,30,96.87724187447452,90.45130470603682,73.91400077827079,70.80667070815626,76.99342676639696,73.06805397884222,91.78585891384847,719.6981369330975,81.44223629834923,98.91735674500302,64.39825529800973,90.38302787571551,84.98051226557003,71.47159452639785,66.70855461734122,728.2205348018805,89.95861444961794,63.310825520063815,78.57900820019219,102.25143838276804,74.42264340610166,89.29965022405302,100.8463927547774,88.36914242867661,77.76670254656024,88.38243085632763,42.05800207271584
Rhode Island,2014,27,74.69907303609008,94.15076396126689,87.05084177585339,27.3,93.84982806589719,95.40232349195466,69.84000073537398,74.86565183155376,86.69848056048062,71.44431944597905,99.19713944726482,787.1698372705754,81.44223629834923,105.7392434170722,70.65919678531623,150.63837979285918,78.53371478335437,80.32648234382768,66.70855461734122,739.9660272986849,83.8075980769945,70.98486497704125,79.72614700603442,130.06382962288095,0.0,0.0,117.1998618501467,113.61746883686993,84.24726109210692,90.22373149916778,44.86186887756356
South Carolina,2014,32.1,85.5926878538532,100.5123020667579,86.4998870810695,31.7,80.73103489539542,83.78647173136541,82.64400087019253,72.61066231855516,60.17133352331864,95.80033743892646,89.50546490356653,663.4717199851993,72.69676125960032,93.45984740734768,67.08151593542681,109.96601724878721,81.46407727527058,63.88169068288657,71.39899986387303,1021.8578472219936,103.7984012880207,55.63678606308638,75.71116118558665,117.79365701694879,73.72710468268015,0.0,96.07663093529469,82.05706082662829,81.36701284964174,100.04400159431529,57.47926949937831
South Dakota,2014,29.8,81.70211113322353,125.32230067817281,105.78330139850537,29.9,99.90465568305184,93.11723789933299,93.70200098662674,85.68960149394708,125.51869573681522,81.18672664315801,107.74861698582212,179.9245342332744,84.72178943788008,118.70082809400363,73.3424574227333,0.0,114.87020968311535,126.4983973918546,82.86453268872854,328.8737899105266,139.93562247718347,85.85331642493503,102.09535371995774,106.34149591807876,0.0,0.0,136.27890912807757,98.8892784320905,113.04974351675887,110.47803857040952,121.26723930966399
Tennessee,2014,31.2,87.92703388623103,113.2353782777399,93.66229811325996,33.7,89.3087073530312,95.21189969447376,94.86600099888298,78.47363505235153,73.75840883503575,93.36473563963172,87.79516939585507,539.7736026998232,90.73430352701995,90.0489040713131,70.21198667908006,88.87664407778692,94.3576722397019,69.57411856552002,80.77989035693663,587.2746248402261,103.7984012880207,65.22933538430817,84.31470222940331,108.79553043926519,101.54865361954057,88.78346727478105,94.71384184401391,86.96645762822143,72.72626812224615,111.09180545135625,42.05800207271584
Texas,2014,31.9,104.26745611287573,90.33384109797228,75.48079318539186,30.9,88.29956941683875,84.92901452767624,74.4960007843989,71.70866651335571,61.46534069586313,73.87992124527379,81.5240858675797,2249.05667791593,80.89564410842742,92.77765874014077,66.63430582919062,84.35749268400114,70.32869980598899,55.02680286545675,69.83551811502909,1327.2406521389112,91.4963685427738,65.22933538430817,73.9904529768233,111.24956496045162,67.46725617188655,74.84652764443751,86.53710729632925,77.84900642526273,75.60651636471134,97.58893407052842,34.3473683593846
Utah,2014,25.7,77.81153441259383,87.78922585577588,91.45847933412443,24.1,94.35439703399341,77.69291014913674,65.18400068634904,69.90467490295683,87.34548414675287,48.71203598589481,102.61773046268775,652.2264365956197,67.23083936038225,103.01048874824453,60.37336434188412,99.42133066328707,82.05014977365383,61.98421472200875,58.36998529017357,563.7836398466171,116.86931107984553,72.42374737522452,86.03541043816664,107.1595074251409,35.47247489449705,0.0,121.28822912398903,90.47316962935939,66.24570957669947,87.7686639753809,41.357035371503905
Vermont,2014,24.8,77.0334190684679,96.69537920346329,94.21325280804385,24.7,94.85896600208963,87.97579531593425,66.34800069860528,81.17962246794986,91.87450925065856,69.00871764668432,110.59910949867457,224.90566779159298,57.93877213171153,136.43773344138347,62.162204766828836,0.0,76.77549728820465,94.87379804389094,46.904452465318045,399.3467448913538,121.48257335931311,60.91268818975837,88.9032574527722,97.34336934039517,0.0,0.0,126.05799094347175,118.52686563846308,65.52564751608317,82.85852892780714,65.89086991392148
Virginia,2014,28.5,68.47415028308257,76.33845726589207,63.91074459493033,27.2,68.11681069298989,65.12493938971755,53.54400056378671,54.57074621456629,54.348301246868445,57.64257591664219,76.39319934444532,820.9056874393144,52.472850232493464,70.2654327223125,50.53474200468819,79.83834129021537,53.91866985125823,67.04415061768294,48.989094797109956,963.1303847379709,68.43005714543587,47.00349167398677,58.504079097953316,90.79927728389802,50.77432680977029,64.00668570972587,72.22782183788111,65.22484322116607,62.64539927361797,69.96942442792603,29.440601450901084
Washington,2014,27.3,72.36472700371226,85.24461061357948,78.78652135409514,27.2,89.81327632112742,77.69291014913674,62.274000655708456,70.35567280555655,62.75934786840761,47.90016871946323,81.5240858675797,629.7358698164603,57.39217994178973,92.77765874014077,52.32358242963291,90.38302787571551,70.91477230437224,60.08673876113094,54.20070062658974,775.2025047890985,87.65198330988414,58.514550859452925,71.12260596221775,139.06195620056454,47.992171916084246,0.0,95.3952363896543,86.96645762822143,69.84601987978095,82.24476204686043,44.16090217635163
West Virginia,2014,35.7,84.81457250972727,122.77768543597641,108.53807487242479,35.1,96.3726729063783,99.972494677198,116.40000122562328,84.33660778614791,80.22844469775818,112.03768276755805,101.47753345754677,404.8302020248674,107.13206922467415,96.18860207617536,89.44202124723574,125.02985522807313,109.59555719766618,70.2066105524793,95.37238667948003,540.2926548530081,104.56727833459863,63.790452986124905,114.71388058422218,68.71296659322012,0.0,0.0,105.61615457426011,93.97988163049736,85.68738521333952,114.77440673703657,42.05800207271584
Wisconsin,2014,31.2,65.36168890657882,97.9676868245615,81.54129482801456,29.8,89.3087073530312,84.16731932632723,71.0040007476302,67.1986874873585,81.52245187030267,77.93925757743169,90.07556340613702,438.5660521936063,61.76491746116418,100.96392274662378,57.69010370446705,73.05961419953671,81.46407727527058,66.41165863072366,84.42801443757249,716.4750423050759,97.64738491539725,66.66821778249144,76.85829999142886,116.1576340028245,76.50925957636619,0.0,99.48360366349662,94.68122403072495,79.92688872840914,83.47229580875387,52.57250259089479
Wyoming,2014,29.5,98.04253335986823,117.0523011410345,107.9871201776409,27.8,95.36353497018585,82.45350513186098,83.22600087632065,90.19958051994429,99.63855228592548,0.0,106.60841998068115,292.3773681290709,85.26838162780187,113.9255074235552,72.44803721026095,0.0,104.320904712217,61.98421472200875,78.17408744219675,270.14632742650406,153.77540931558622,67.62747271461362,83.7411328264822,108.79553043926519,0.0,0.0,85.17431820504848,79.95303362594551,86.40744727395582,116.61570737987672,69.39570341998113
Alabama,2015,35.6,92.52533884523149,110.77674297277197,107.56331194763304,33.5,86.89261423840763,101.50577760934354,108.47449433965008,74.59523148990334,82.22927136815433,125.41782359460267,97.21162777106352,873.6415329420163,102.79223816014573,85.54775511270822,73.40292612674618,107.35091867395921,96.84841143945268,89.2320787389932,66.38179736465686,909.6640491845158,116.0376738122362,59.90481656502041,78.14058098115248,80.70011996503129,105.2528210675395,0.0,87.89007928568076,102.59966285622637,94.51536660898924,104.75775322550149,55.20140620087124
Alaska,2015,29.8,79.21234045023415,103.34659557825678,92.11832356540882,29.7,90.79164180038747,84.09955220550125,78.65986724044801,75.84543090034866,75.99118871263917,68.62484687251845,93.69795447813351,824.1901254169966,75.22783910044184,109.71009815980902,64.96580818114317,0.0,75.6213623568329,71.2697771746504,44.61727363853986,380.40496602261567,111.09990045852402,52.58819774791868,96.08397365089861,196.8295608903202,0.0,0.0,110.78581422564801,97.03703053269602,82.55139615215516,90.44658475207233,42.71537384591227
Arizona,2015,28.4,75.88409085148483,95.24098023878565,85.49904283016986,28.9,88.5636260506847,90.1459252398837,81.83163608078866,68.3442344376768,74.28989344295323,59.15935075217107,86.6706078922735,1565.9612382922935,70.05951427674736,96.64937218840318,60.747249208341664,82.74966647784356,83.58150576281533,79.3817843327407,57.131874781057135,1571.237903136891,97.10954262300618,66.30685802998443,77.56176186277358,143.68557944993375,68.44661983533244,0.0,101.18437699275852,106.92615466341664,68.79283012679596,90.44658475207233,44.68685263880053
Arkansas,2015,34.5,133.12998394997337,105.37299941312456,86.05064955810644,35.9,91.34864573781316,93.07750004260053,111.64626317999073,74.17849835308824,90.16864929335544,99.3877092636474,93.11234226264517,824.1901254169966,90.15855525778144,95.99633588983289,75.09034971586678,78.27671153309527,96.84841143945268,89.81150782171393,84.3375294387034,1008.900127277372,116.8606360378549,59.447527888951555,99.55688836117206,88.5733024006441,119.45872329751417,0.0,110.78581422564801,88.38404691831549,98.70275626888117,97.88839235825549,41.401054650653435
California,2015,24.2,79.21234045023415,79.02974955984342,76.121728455248,24.7,97.47568904949574,78.05317917111881,62.16666927067666,60.00957170137476,59.54533443900831,52.06022866191054,80.81448573739014,1038.4795580254156,56.27731474689542,94.03722699412202,55.684978440979854,93.18656134892294,67.6612189508505,60.26062460295644,49.514291476916185,1802.788752020222,78.18141143377616,60.36210524108927,71.1947515606056,112.19284970748252,47.13776649037045,38.541445388942996,102.66152118243382,96.41896027452599,75.3730138780547,69.26605541139716,40.086735455394596
Colorado,2015,20.2,75.88409085148483,87.81083284427046,88.25707646985276,21.3,87.44961817583332,75.30482779185407,62.16666927067666,62.09323738545027,63.515023401608865,42.594732541563175,86.6706078922735,1912.1210909674319,58.574348001870746,95.99633588983289,50.62270767361805,93.18656134892294,73.63132650533731,66.63434451288452,44.61727363853986,1620.855942183319,102.04731597671837,62.1912599453647,70.03711332384779,153.52705749444976,42.61770668992397,0.0,101.18437699275852,95.1828197581859,68.79283012679596,75.56296953970599,57.83004459138892
Connecticut,2015,25.3,76.5497407712347,97.26738407365343,88.25707646985276,26.3,93.57666148751592,98.75742623007879,72.95068332783485,63.34343679589558,71.45440132680997,65.46968149906932,89.01305675422684,1038.4795580254156,78.099130669161,101.22062627839523,57.37240203010046,107.35091867395921,90.214958601134,73.00806442281261,46.79372601115156,992.3607809285627,88.87992036681922,58.99023921288269,74.66766627087904,114.16114531638573,23.891744659502834,0.0,124.81868402756342,119.2875598268174,93.31896956330583,76.70786301758032,47.31549102931821
Delaware,2015,29.7,89.19708924648216,106.72393530303641,104.25367158001357,30.7,100.81771267404989,101.68900103279563,78.65986724044801,69.17770071130701,106.04740514375766,105.69804001054565,117.12244309766689,1648.3802508339932,96.47539670896359,107.09795296552785,63.27838459202257,0.0,87.56157746580652,79.3817843327407,63.11711880573931,1025.4394736261813,109.45397600728663,76.82449757956816,92.03223982224627,110.22455409857932,0.0,0.0,127.77297240691404,107.54422492158668,92.72077104046413,91.01903149100949,46.00117183405937
District of Columbia,2015,22.1,82.54059004898349,85.78442900940269,85.49904283016986,21.7,110.8437835477123,79.88541342212974,60.8979617345404,57.509172880484144,69.75310605712401,75.72396896277897,79.64326130641348,1928.6048934757719,68.9109976492597,90.11900920270027,51.888275365458504,97.65951629367123,65.67118309935489,64.31662818200158,54.955422408445436,3307.869269761876,88.87992036681922,66.30685802998443,64.24892214005871,143.68557944993375,59.40650023443948,0.0,95.27580023405729,85.2936956274653,66.40003603542915,79.57009671226615,43.37253344354169
Florida,2015,26.8,79.87799036998402,101.320191743389,87.70546974191618,26.2,88.00662211325901,90.32914866333579,77.39115970431176,67.51076816404661,66.35051551775211,66.2584728424316,86.6706078922735,2109.926721067511,68.33673933551587,95.99633588983289,54.841266646419555,86.47712893180048,79.60143405982411,63.73719909928085,60.39655333997469,2265.890449786885,94.64065594615009,57.618373184676116,74.08884715250014,150.57461408109498,71.6752339785085,74.63581488017533,88.6286513805184,90.2382576928256,75.97121240089642,82.43233040695199,43.37253344354169
Georgia,2015,30.7,88.5314393267323,93.21457640391787,83.29261591842354,30.5,84.10759455127919,82.4505413779424,81.19728231272053,62.926703659080474,58.97823601577966,100.96529195037196,79.05764909092515,2175.861931100871,71.20803090423503,82.93560991842706,62.012816900182116,79.76769651467804,74.95801707300105,61.99891185111865,62.57300571258639,2547.059337716644,101.22435375109967,52.13090907184982,75.82530450763686,117.11358872974053,94.92125580937612,102.16541872942032,87.1515071908431,82.82141459478514,79.56040353794664,90.44658475207233,38.11525666250633
Idaho,2015,28.6,73.88714109223523,102.67112763330086,92.66993029334539,28.9,95.80467723721868,92.1613829198434,85.63775868919744,70.01116698493722,98.10802721855654,59.15935075217107,101.31091327948185,774.7387178919768,76.37635572792951,107.75098926409814,63.27838459202257,136.42512581482316,99.50179257478014,71.84920625737114,50.60251766322204,694.6525466499938,116.8606360378549,65.39228067784671,84.50759128332047,115.14529312083732,0.0,0.0,117.43296307918689,111.87071672877694,91.52437399478072,90.44658475207233,51.915608212724145
Illinois,2015,30.8,79.87799036998402,89.16176873418232,79.43136882286748,29.3,98.03269298692143,80.98475397383565,71.04762202363047,59.17610542774455,65.21631867129481,79.66792567959038,79.64326130641348,1796.7344734090525,59.72286462935841,90.77204550127055,58.21611382466076,82.74966647784356,71.64129065384171,61.41948276839791,75.08760685510366,3059.7790745297348,88.87992036681922,65.84956935391557,78.14058098115248,115.14529312083732,68.44661983533244,69.12989411032633,93.79865604438199,103.21773311439641,75.97121240089642,77.85275649545466,40.086735455394596
Indiana,2015,31.3,75.21844093173496,104.69753146816863,89.9118966536625,32.7,93.01965755009023,96.00907485081405,92.61565013794686,65.4271024799711,90.16864929335544,84.40067373976406,95.45479112459851,1170.3499780921352,68.9109976492597,103.1797351741061,62.43467279746226,117.78781354503859,112.10535296758563,94.4469404834798,79.44051160032707,1041.9788199749908,108.63101378166793,67.678724058191,94.34751629576189,101.36722385851492,105.2528210675395,73.41227693132,116.69439098434924,100.12738182354622,103.48834445161481,84.14967062376348,42.71537384591227
Iowa,2015,32.1,71.22454141323576,100.64472379843308,90.46350338159907,30.9,98.03269298692143,86.66468016131391,86.27211245726556,67.0940350272315,96.4067319488706,85.97825642648863,94.86917890911018,741.7711128752969,77.52487235541716,107.75098926409814,63.700240489302715,105.11444120158507,85.57154161431093,93.86751140075907,63.66123189889224,909.6640491845158,130.85099387337274,71.33703346674186,92.03223982224627,135.81239701432096,74.25812529304935,0.0,105.61580956178443,97.65510079086606,98.10455774603946,86.43945757951215,53.8870870056124
Kansas,2015,34.2,80.54364028973389,81.73162133966713,66.74441408032615,31.3,74.63852761504246,72.37325298913723,66.60714564715356,58.75937229092945,73.15569659649593,62.314516125620194,75.54397579799515,906.6091379586962,59.72286462935841,77.05828323129442,52.731987160018804,79.76769651467804,74.29467178916917,86.33493332538951,58.22010096736299,793.8886247428502,97.10954262300618,57.16108450860726,71.1947515606056,89.5574502050957,71.02951114987329,0.0,90.84436766503137,87.1479064019754,84.94419024352197,69.26605541139716,31.54366068621214
Kentucky,2015,34.6,79.21234045023415,111.4522109177279,100.9440312123941,31.6,103.04572842375265,94.5432874467073,105.93707926737757,75.42869776353355,71.45440132680997,114.37474478753074,89.59866896971516,1186.833780600475,92.45558851275676,92.73115439698144,76.77777330498738,105.11444120158507,97.51175672328455,71.84920625737114,82.16107706609169,1306.6083615559407,104.51620265357445,65.39228067784671,93.18987805900407,104.31966727186972,100.08703843845781,0.0,110.04724213081036,88.38404691831549,75.97121240089642,104.75775322550149,40.086735455394596
Louisiana,2015,36.2,107.83528699947843,105.37299941312456,92.11832356540882,34.9,84.10759455127919,88.13046755992399,92.61565013794686,75.01196462671845,68.61890921066671,150.65914658219566,89.01305675422684,1335.1880031755345,99.92094659142657,95.99633588983289,69.60622305122482,96.16853131208846,90.87830388496586,84.5966460772273,73.99938066879781,1157.7542444166565,113.56878713538012,59.447527888951555,81.61349569142592,97.43063264070851,95.56697863801134,0.0,96.7529444237326,96.41896027452599,90.3279769490973,101.32307279187849,36.14377786961808
Maine,2015,30,74.5527910119851,112.80314680763975,90.46350338159907,28.2,93.01965755009023,96.00907485081405,86.27211245726556,72.09483266901273,86.19896033075489,72.56880358932985,96.04040334008684,543.9654827752178,86.71300537531846,107.09795296552785,56.52869023554016,132.69766336086624,90.87830388496586,92.7086532353176,47.88195219745741,777.3492783940408,125.09025829404186,56.24650715646955,92.03223982224627,97.43063264070851,0.0,0.0,115.95581888951159,118.05141931047733,85.54238876636369,81.28743692907766,63.744480970053694
Maryland,2015,28.9,82.54059004898349,93.21457640391787,93.22153702128197,29.6,89.67763392553609,97.6580856783729,76.1224521681755,61.259771111820065,90.16864929335544,82.8230910530395,98.96846441752852,1516.5098307672736,78.099130669161,97.30240848697348,56.95054613282031,122.26076848978688,85.57154161431093,93.28808231803833,54.41130931529251,1207.3722834630846,99.57842929986228,63.10583729750242,89.13814423035173,114.16114531638573,45.84632083310003,0.0,107.09295375145975,105.69001414707655,92.72077104046413,82.43233040695199,48.62981022457705
Massachusetts,2015,24.3,70.55889149348589,87.81083284427046,84.3958293742967,23.3,95.80467723721868,86.11500988546096,61.532315502608526,60.00957170137476,72.02149975003861,61.52572478225792,90.76989340069184,1219.801385617155,74.65358078669802,95.34329959126259,53.15384305729896,91.69557636734017,82.91816047898345,66.05491543016379,37.54380342755183,1372.7657469511785,84.76510923872574,61.27668259322699,74.66766627087904,117.11358872974053,44.55487517582961,0.0,101.92294908759617,106.3080844052466,78.96220501510493,73.84562932289448,39.42957585776517
Michigan,2015,31.2,81.20929020948375,99.29378790852122,84.94743610223328,30.7,96.36168117464437,85.01566933375506,82.4659898488568,62.09323738545027,72.58859817326727,85.97825642648863,84.32815903032015,1714.3154608673528,70.05951427674736,94.69026329269231,59.903537413781365,103.6234562200023,81.59146991131972,73.00806442281261,75.63171994825659,2398.20522057736,96.28658039738748,60.36210524108927,82.19231480980484,114.16114531638573,73.61240246441413,64.235742314905,104.13866537210913,96.41896027452599,80.15860206078834,81.28743692907766,37.45809706487692
Minnesota,2015,26.1,71.89019133298562,99.29378790852122,85.49904283016986,27.6,94.13366542494161,85.19889275720715,71.04762202363047,61.259771111820065,82.79636979138299,65.46968149906932,86.6706078922735,1368.1556081922142,64.31693113930905,97.95544478554376,55.684978440979854,102.87796372921092,86.89823218197466,75.90520983641629,54.41130931529251,1223.911629811894,112.74582490976141,70.879744790673,76.40412362601576,133.84410140541775,72.32095680714372,0.0,98.2300886134079,96.41896027452599,75.3730138780547,76.70786301758032,54.544246603241824
Mississippi,2015,35.6,95.18793852423096,121.5842300920668,96.53117738890145,35.5,85.77860636355626,109.38438489473693,114.18367825226325,81.26296167894499,92.43704298627004,157.75826867245618,103.06774992594686,741.7711128752969,102.21797984640189,91.42508179984085,77.19962920226753,93.18656134892294,101.49182842627575,79.3817843327407,66.92591045780979,992.3607809285627,115.21471158661751,55.33192980433183,104.76626042658222,69.87449411606367,125.27022875523107,0.0,100.44580489792087,90.85632795099563,110.06852820287355,112.77200757062181,34.82945867435924
Missouri,2015,32.4,89.86273916623203,103.34659557825678,92.11832356540882,30.2,96.36168117464437,88.49691441232484,90.71258883374247,66.26056875360129,72.58859817326727,90.7110044866623,86.6706078922735,1697.8316583590129,79.24764729664865,94.03722699412202,60.747249208341664,97.65951629367123,94.85837558795707,70.69034809192968,73.99938066879781,1604.3165958345096,113.56878713538012,68.13601273425985,81.61349569142592,114.16114531638573,102.66992975299866,107.05957052484166,103.40009327727148,100.12738182354622,73.5784183095296,87.01190431844933,38.772416260135756
Montana,2015,23.6,71.89019133298562,104.69753146816863,95.4279639330283,26.4,94.13366542494161,84.6492224813542,79.29422100851615,75.84543090034866,74.85699186618187,64.68089015570703,95.45479112459851,609.9006928085774,68.33673933551587,114.28135224980106,59.05982561922106,0.0,92.86833973646146,74.74635167097482,42.98493435908108,529.2590831619001,122.62137161718577,61.27668259322699,91.45342070386735,139.74898823212735,0.0,0.0,144.0215584933424,111.87071672877694,73.5784183095296,89.87413801313515,53.229927407982984
Nebraska,2015,31.4,95.18793852423096,106.72393530303641,90.46350338159907,30.2,101.93172054890127,84.28277562895335,78.65986724044801,67.51076816404661,86.76605875398353,86.7670477698509,90.76989340069184,1219.801385617155,69.48525596300354,101.87366257696551,69.18436715394468,87.96811391338325,85.57154161431093,73.00806442281261,64.20534499204517,1025.4394736261813,124.26729606842316,85.97027110094533,84.50759128332047,138.76484042767575,0.0,0.0,103.40009327727148,95.1828197581859,71.18562421816279,88.72924453526082,46.00117183405937
Nevada,2015,26.7,84.53753980823309,86.45989695435861,77.22494191112116,27.7,82.99358667642781,81.5344242496886,77.39115970431176,62.926703659080474,63.515023401608865,60.73693343889563,77.88642465994847,1483.5422257505938,72.93080584546652,92.73115439698144,63.700240489302715,71.56727911597281,70.97794537000983,61.99891185111865,63.66123189889224,1852.4067910666504,90.52584481805661,55.789218480400685,82.77113392818374,147.62217066774016,0.0,0.0,104.13866537210913,84.05755511112521,66.99823455827085,81.28743692907766,46.00117183405937
New Hampshire,2015,26.3,68.56194173423629,105.37299941312456,87.1538630139796,27.4,97.47568904949574,95.82585142186528,76.75680593624362,70.01116698493722,74.28989344295323,63.892098812344756,98.96846441752852,824.1901254169966,73.50506415921035,116.24046114551193,53.997554851859256,82.74966647784356,80.92812462748785,65.47548634744305,40.80848198646938,860.0460101380877,121.79840939156708,59.90481656502041,92.61105894062517,109.24040629412772,0.0,0.0,107.09295375145975,108.16229517975671,88.5333813805722,81.85988366801482,49.94412941983589
New Jersey,2015,25.6,82.54059004898349,86.45989695435861,78.8797620949309,26.9,91.34864573781316,97.10841540251995,67.87585318328982,62.926703659080474,67.48471236420941,71.78001224596757,90.1842811852035,1269.2527931421746,79.82190561039249,97.30240848697348,59.903537413781365,97.65951629367123,74.95801707300105,60.26062460295644,41.35259507962231,1091.596859021419,79.00437365939486,55.789218480400685,74.08884715250014,77.74767655167649,57.46933174853384,0.0,110.78581422564801,94.56474950001586,89.7297784262556,77.28030975651748,45.34401223642995
