states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Vermont,2011,7.70,12.666666666666666,83.66666666666667,76.0,0.0,0.0,30.666666666666668,73.33333333333333,56.333333333333336,0.0,0.0,57.666666666666664,69.0,76.0,47.666666666666664,66.0,12.666666666666666,67.0,0.0,41.333333333333336,93.33333333333333,0.0,0.0,98.66666666666667,0.0,0.0,54.0,68.66666666666667,0.0,57.0
Virginia,2011,10.40,18.333333333333332,78.0,70.66666666666667,57.666666666666664,0.0,35.666666666666664,66.66666666666667,52.0,43.333333333333336,33.0,43.666666666666664,55.666666666666664,54.0,34.333333333333336,59.666666666666664,17.666666666666668,51.666666666666664,40.666666666666664,30.0,61.333333333333336,35.0,36.333333333333336,61.666666666666664,52.333333333333336,81.0,54.666666666666664,47.0,65.66666666666667,52.0
Washington,2011,8.90,8.333333333333334,67.66666666666667,65.33333333333333,42.333333333333336,0.0,33.333333333333336,61.0,48.333333333333336,36.333333333333336,28.333333333333332,41.666666666666664,58.0,52.333333333333336,36.0,51.0,20.0,53.666666666666664,51.333333333333336,30.333333333333332,54.333333333333336,40.666666666666664,39.666666666666664,61.666666666666664,42.666666666666664,42.333333333333336,48.333333333333336,49.333333333333336,65.66666666666667,51.666666666666664
West Virginia,2011,12.00,10.0,87.0,90.33333333333333,76.33333333333333,0.0,64.66666666666667,67.33333333333333,100.0,91.0,75.0,67.66666666666667,79.33333333333333,79.66666666666667,48.666666666666664,96.33333333333333,62.333333333333336,88.0,0.0,55.666666666666664,92.33333333333333,0.0,52.333333333333336,87.66666666666667,58.666666666666664,0.0,70.0,86.66666666666667,87.66666666666667,58.666666666666664
Wisconsin,2011,8.40,9.0,77.66666666666667,71.66666666666667,59.0,0.0,44.333333333333336,65.33333333333333,54.333333333333336,36.666666666666664,48.666666666666664,59.666666666666664,62.333333333333336,57.0,40.333333333333336,61.0,26.0,62.333333333333336,0.0,39.666666666666664,71.0,52.666666666666664,42.333333333333336,72.33333333333333,54.666666666666664,0.0,50.0,57.333333333333336,73.0,60.666666666666664
Wyoming,2011,8.20,6.333333333333333,85.0,92.66666666666667,0.0,0.0,38.666666666666664,60.0,66.66666666666667,0.0,0.0,52.333333333333336,81.33333333333333,67.0,60.333333333333336,79.0,54.666666666666664,83.66666666666667,0.0,42.666666666666664,87.33333333333333,0.0,0.0,89.66666666666667,0.0,0.0,21.333333333333332,54.333333333333336,0.0,81.66666666666667
Alabama,2012,12.20,8.0,88.66666666666667,82.0,59.0,0.0,55.0,80.0,83.33333333333333,89.0,48.666666666666664,65.66666666666667,58.333333333333336,56.333333333333336,56.666666666666664,70.0,24.333333333333332,67.33333333333333,0.0,55.666666666666664,71.0,53.0,37.666666666666664,95.0,83.66666666666667,0.0,78.0,66.0,85.33333333333333,73.66666666666667
Alaska,2012,6.90,5.0,66.33333333333333,82.33333333333333,0.0,0.0,37.0,84.33333333333333,57.666666666666664,0.0,0.0,77.33333333333333,59.333333333333336,54.0,45.333333333333336,60.0,29.666666666666668,55.0,0.0,35.666666666666664,64.0,0.0,52.0,67.66666666666667,0.0,0.0,78.66666666666667,64.0,0.0,69.33333333333333
Arizona,2012,10.70,5.0,84.33333333333333,74.0,50.333333333333336,0.0,45.666666666666664,76.33333333333333,62.666666666666664,53.0,48.666666666666664,65.33333333333333,61.333333333333336,50.666666666666664,51.333333333333336,63.666666666666664,17.666666666666668,62.0,76.66666666666667,52.0,62.0,49.666666666666664,55.333333333333336,75.66666666666667,68.0,0.0,67.0,56.333333333333336,79.0,67.0
Arkansas,2012,11.20,5.666666666666667,95.66666666666667,85.0,62.333333333333336,0.0,52.666666666666664,87.0,88.0,93.33333333333333,46.333333333333336,63.333333333333336,66.0,60.333333333333336,55.0,73.33333333333333,26.0,71.33333333333333,0.0,48.0,74.33333333333333,39.666666666666664,46.0,96.0,76.66666666666667,0.0,86.66666666666667,59.666666666666664,89.66666666666667,72.66666666666667
California,2012,9.80,7.0,72.33333333333333,64.33333333333333,36.0,51.666666666666664,39.0,61.666666666666664,46.666666666666664,34.666666666666664,32.666666666666664,48.0,52.333333333333336,45.0,38.333333333333336,49.666666666666664,14.0,48.0,55.333333333333336,35.333333333333336,55.666666666666664,37.0,51.0,63.0,48.333333333333336,71.33333333333333,51.666666666666664,45.0,65.66666666666667,52.0
Colorado,2012,7.40,6.333333333333333,72.66666666666667,62.333333333333336,38.333333333333336,0.0,30.666666666666668,64.66666666666667,45.666666666666664,30.666666666666668,41.666666666666664,55.333333333333336,52.333333333333336,44.333333333333336,38.0,51.666666666666664,13.333333333333334,51.0,0.0,42.333333333333336,62.666666666666664,44.0,41.0,73.66666666666667,53.0,0.0,55.666666666666664,56.0,65.66666666666667,52.333333333333336
Connecticut,2012,9.10,11.666666666666666,87.33333333333333,72.33333333333333,49.333333333333336,0.0,39.333333333333336,63.0,50.333333333333336,37.333333333333336,45.0,64.0,57.0,53.666666666666664,46.0,58.0,33.666666666666664,57.333333333333336,0.0,40.666666666666664,68.66666666666667,50.666666666666664,49.0,81.66666666666667,55.666666666666664,0.0,56.0,52.333333333333336,73.33333333333333,61.0
Delaware,2012,9.60,12.0,99.33333333333333,91.33333333333333,0.0,0.0,42.333333333333336,82.0,65.66666666666667,53.666666666666664,0.0,69.33333333333333,76.33333333333333,48.666666666666664,55.666666666666664,75.66666666666667,52.333333333333336,69.0,0.0,63.666666666666664,98.0,0.0,39.666666666666664,91.0,71.0,0.0,72.0,69.66666666666667,0.0,73.66666666666667
District of Columbia,2012,8.20,34.333333333333336,76.66666666666667,65.33333333333333,35.0,0.0,26.666666666666668,68.33333333333333,44.0,30.0,34.0,47.666666666666664,42.0,29.0,44.0,52.333333333333336,12.0,44.666666666666664,0.0,35.333333333333336,54.666666666666664,32.0,44.0,69.33333333333333,63.333333333333336,0.0,57.666666666666664,42.0,53.0,48.333333333333336
Florida,2012,11.40,5.0,81.0,67.33333333333333,44.333333333333336,61.0,48.333333333333336,66.66666666666667,57.333333333333336,44.0,44.0,58.0,54.666666666666664,45.333333333333336,46.666666666666664,61.0,24.0,55.333333333333336,84.66666666666667,41.0,53.333333333333336,54.666666666666664,39.0,70.66666666666667,50.666666666666664,83.0,58.666666666666664,46.0,69.0,53.666666666666664
Georgia,2012,9.90,5.333333333333333,77.0,65.66666666666667,36.333333333333336,54.333333333333336,37.0,73.33333333333333,56.0,48.0,37.666666666666664,59.666666666666664,48.666666666666664,41.666666666666664,36.333333333333336,55.0,19.666666666666668,51.666666666666664,68.33333333333333,37.0,57.666666666666664,38.666666666666664,37.0,67.33333333333333,66.0,94.33333333333333,66.66666666666667,48.333333333333336,64.66666666666667,54.0
Idaho,2012,8.30,5.0,81.66666666666667,85.66666666666667,58.666666666666664,0.0,67.33333333333333,80.33333333333333,60.666666666666664,45.666666666666664,51.0,68.0,65.0,62.666666666666664,67.0,65.0,28.666666666666668,71.0,0.0,60.666666666666664,81.0,66.66666666666667,44.333333333333336,82.66666666666667,69.66666666666667,0.0,73.33333333333333,78.66666666666667,87.33333333333333,70.33333333333333
Illinois,2012,9.40,6.0,74.0,66.33333333333333,45.333333333333336,52.333333333333336,40.0,67.33333333333333,52.666666666666664,38.666666666666664,41.666666666666664,45.0,50.666666666666664,40.333333333333336,43.666666666666664,54.0,18.333333333333332,50.666666666666664,49.666666666666664,42.333333333333336,56.666666666666664,46.0,34.333333333333336,73.66666666666667,65.0,75.66666666666667,55.666666666666664,49.666666666666664,63.666666666666664,54.666666666666664
Indiana,2012,10.90,7.0,85.66666666666667,82.33333333333333,56.333333333333336,100.0,56.333333333333336,80.66666666666667,71.0,61.333333333333336,60.0,73.66666666666667,73.66666666666667,59.666666666666664,53.666666666666664,66.66666666666667,23.666666666666668,76.66666666666667,0.0,57.0,77.66666666666667,40.333333333333336,41.333333333333336,81.66666666666667,68.33333333333333,0.0,73.66666666666667,74.0,89.66666666666667,78.0
Iowa,2012,9.70,8.666666666666666,85.0,82.0,57.666666666666664,0.0,63.0,75.33333333333333,68.33333333333333,53.666666666666664,58.0,60.333333333333336,68.66666666666667,64.66666666666667,57.333333333333336,69.66666666666667,28.333333333333332,69.66666666666667,0.0,62.666666666666664,87.0,67.33333333333333,37.666666666666664,82.33333333333333,70.66666666666667,0.0,67.0,67.33333333333333,86.66666666666667,71.0
Kansas,2012,9.40,6.333333333333333,84.33333333333333,75.66666666666667,50.333333333333336,0.0,47.333333333333336,79.33333333333333,68.66666666666667,50.333333333333336,62.666666666666664,54.666666666666664,64.66666666666667,51.0,55.333333333333336,61.333333333333336,19.666666666666668,61.666666666666664,0.0,50.333333333333336,73.66666666666667,57.0,57.0,81.0,72.66666666666667,0.0,65.0,53.333333333333336,80.66666666666667,66.0
