states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Texas,2011,10.20,3.4117522407030636,47.133799540709305,43.56495950983264,27.80367715170485,32.1179231135967,19.730115780548658,71.17459548241638,43.53854884432105,36.06518568120614,30.90035621366437,32.65776259597572,60.219517003017344,30.169342620984562,27.793162774246973,38.679826555739226,59.725073998424385,32.68353517851038,80.36852232484101,24.75539774359996,20.597707789244865,28.823534483109064,17.47761463970732,22.977555138909466,37.36128270735519,99.18368403467908,58.17250433413063,29.945781069304438,63.63622965656285,42.62040113055287
Utah,2011,6.60,5.003903286364493,49.61452583232558,48.43008189164136,32.02216609886007,0.0,22.020218505076627,76.53182309937245,43.00433352107785,32.509463149256234,31.164461822328168,27.05928900809417,73.51473504264455,56.9615200232022,29.056488354894565,42.217615569983664,81.97559176254327,43.28945056756343,0.0,25.01875303874464,33.306931744310845,32.28235862108215,9.804515529591912,30.358224365347052,39.8856937010954,0.0,61.515751709655376,43.82309424776259,77.29824506305657,56.330460235485965
Vermont,2011,7.70,8.64310567644776,56.60566356324419,50.42035922965402,0.0,0.0,16.206880819736398,84.18500540930968,45.14119481405066,0.0,0.0,32.28453102345028,80.94441571184798,51.332911325257314,36.13111160652107,46.698814988026626,44.50103552823777,43.50589782040124,0.0,32.65605659794038,40.90324951055718,0.0,0.0,41.220341340104255,0.0,0.0,54.160607483500925,50.15309675021719,0.0,50.96565449877302
Virginia,2011,10.40,12.509758215911233,52.77181383983721,46.8820884065204,33.172663084447855,0.0,18.849307040345593,76.53182309937245,41.66879521296984,33.01742351096336,26.146455257716006,24.446668000416107,65.30298272405126,36.47338436268283,26.02450696134035,42.217615569983664,62.06723376306848,33.54932418986165,47.36695518662127,23.70197656302124,26.87927824979472,20.176474138176346,23.232438972293878,25.762713337565156,39.63325260172138,98.37402130786536,54.829256958605875,34.3280904940807,70.82676408103323,46.49498305151223
Washington,2011,8.90,5.686253734505106,45.78067610891861,43.34381758338679,24.352186194941492,0.0,17.616174804061302,70.02661813592579,38.730610935132226,27.683839713038513,22.448976736422832,23.3269732828398,68.04023349691569,35.34766262309385,27.28783254198794,36.0854479452933,70.2647929393228,34.84800770688855,59.79107457983341,23.965331858165918,23.811534536502933,23.44314137959537,25.36385539177038,25.762713337565156,32.31246071987475,51.41358315267038,48.47708694510886,36.03232193704924,70.82676408103323,46.19693828836151
West Virginia,2011,12.00,6.823504481406127,58.86086928289535,59.92946206682561,43.910634949933865,0.0,34.175379119878926,77.29714133036616,80.13229848648045,69.33658937302306,59.42376194935456,37.883004611331835,93.06652627739042,53.80949915235307,36.88910695490962,68.1614016744429,218.99193799422275,57.14207474918372,0.0,43.98033428916163,40.46500040865835,0.0,33.46323778578109,36.62483031232236,44.429633489827786,0.0,70.20819488601973,63.30002502454597,94.55552768178548,52.455878314526615
Wisconsin,2011,8.40,6.141154033265515,52.546293267872095,47.54551418585796,33.93966107483971,0.0,23.42951248940153,75.00118663738499,43.53854884432105,27.937819893892076,38.55941886491451,33.40422574102659,73.12369921794964,38.49968349394299,30.572479051671674,43.16102597378218,91.34423082111965,40.4756362806718,0.0,31.33928012221697,31.115686234816714,30.360789655541545,27.068988527351582,30.218966455414265,41.400340297339525,0.0,50.14871063287123,41.87540117008425,78.73635194795064,54.24414689343093
Wyoming,2011,8.20,4.32155283822388,57.50774585110465,61.47745555194657,0.0,0.0,20.43476277271111,68.8786407894352,53.42153232432031,0.0,0.0,29.29867844324679,95.41274122555994,45.25401393147685,45.73238601944275,55.89706642506217,192.05710070081565,54.3282604622921,0.0,33.709477778519094,38.27375489916422,0.0,0.0,37.46037777191907,0.0,0.0,21.39678320335839,39.684246457696126,0.0,73.02096697192626
Alabama,2012,12.20,5.182899664329443,54.72642792808814,53.459290558892825,39.86146844326943,0.0,26.43720462713108,81.52447152714963,59.878481568797426,57.33202306790489,34.66923703414152,34.23882560440554,71.55411753230321,43.939689346850464,34.68295202215359,48.53463422151613,124.05860877109934,43.747550145215556,0.0,33.69274909826741,28.927972369772135,29.65853075170028,19.006271501101594,35.567869397482646,56.714634238639725,0.0,69.58325915017579,50.42432864330992,90.95057654034136,65.40165788291031
Alaska,2012,6.90,3.239312290205902,40.94195172063737,53.67660474815661,0.0,0.0,17.785028567342728,85.9403804015369,41.43590924560782,0.0,0.0,40.321865686406525,72.78075954714268,42.11970221414068,27.74636161772288,41.60111504701382,151.24953672092934,35.73438501960677,0.0,21.58756978152463,26.07591875585094,0.0,26.23874649709601,25.334306974347292,0.0,0.0,70.17798786086105,48.89631868442174,0.0,61.554501536856755
